,time,rho,Isolation Forest,SVM,Autoencoder,Voted,mean
152,16,9,0,0,0,0,-0.23
153,17,1,0,0,0,0,9.44
154,17,2,0,0,0,0,8.23
155,17,3,0,0,0,0,7.58
156,17,4,0,0,0,0,6.66
157,17,5,0,1,0,0,4.64
158,17,6,1,1,0,1,2.29
159,17,7,0,1,0,0,0.56
160,17,8,0,0,0,0,0.01
161,17,9,0,0,0,0,-0.17
162,18,1,0,0,0,0,9.49
163,18,2,0,0,0,0,8.23
164,18,3,0,0,0,0,7.56
165,18,4,0,0,0,0,6.8
166,18,5,0,1,0,0,4.95
167,18,6,1,1,0,1,2.71
168,18,7,1,1,0,1,1.14
169,18,8,0,1,0,0,0.17
170,18,9,0,0,0,0,-0.15
171,19,1,0,0,0,0,9.58
172,19,2,0,0,0,0,8.37
173,19,3,0,0,0,0,7.66
174,19,4,0,0,0,0,6.95
175,19,5,0,0,0,0,5.46
176,19,6,1,1,0,1,3.44
177,19,7,1,1,1,1,1.84
178,19,8,1,1,0,1,0.81
179,19,9,0,0,0,0,0.18
180,20,1,0,0,0,0,9.64
181,20,2,0,0,0,0,8.43
182,20,3,0,0,0,0,7.72
183,20,4,0,0,0,0,7.01
184,20,5,0,0,0,0,5.64
185,20,6,0,1,0,0,3.83
186,20,7,1,1,0,1,2.15
187,20,8,0,1,0,0,0.69
188,20,9,0,0,0,0,-0.1
189,21,1,0,0,0,0,9.41
190,21,2,0,0,0,0,8.32
191,21,3,0,0,0,0,7.64
192,21,4,0,0,0,0,6.9
193,21,5,0,0,0,0,5.43
194,21,6,0,1,0,0,3.64
195,21,7,1,1,0,1,1.92
196,21,8,1,1,0,1,0.62
197,21,9,0,1,0,0,-0.03
198,22,1,0,0,0,0,9.44
199,22,2,0,0,0,0,8.4
200,22,3,0,0,0,0,7.69
201,22,4,0,0,0,0,6.74
202,22,5,0,0,0,0,5.19
203,22,6,1,1,0,1,3.45
204,22,7,1,1,0,1,1.64
205,22,8,1,1,0,1,0.39
206,22,9,0,1,0,0,-0.21
207,23,1,0,0,0,0,9.42
208,23,2,0,0,0,0,8.43
209,23,3,0,0,0,0,7.67
210,23,4,0,0,0,0,6.71
211,23,5,0,0,0,0,5.08
212,23,6,1,1,0,1,3.2
213,23,7,1,1,1,1,1.53
214,23,8,1,1,0,1,0.42
215,23,9,0,1,0,0,-0.16
216,24,1,0,1,0,0,9.31
217,24,2,0,0,0,0,8.34
218,24,3,0,0,0,0,7.55
219,24,4,0,0,0,0,6.46
220,24,5,0,0,0,0,4.72
221,24,6,0,1,0,0,2.88
222,24,7,1,1,0,1,1.55
223,24,8,1,1,0,1,0.63
224,24,9,0,1,0,0,0.02
225,25,1,0,1,0,0,9.42
226,25,2,0,0,0,0,8.46
227,25,3,0,0,0,0,7.69
228,25,4,0,0,0,0,6.63
229,25,5,0,0,0,0,5.08
230,25,6,0,1,0,0,3.46
231,25,7,1,1,0,1,2.2
