time,rho,Isolation Forest,SVM,Autoencoder,Voted
25,7,1,1,0,1
25,8,1,1,0,1
25,9,1,1,0,1
26,1,1,1,0,1
26,2,0,1,0,0
26,3,0,1,0,0
26,4,0,0,0,0
26,5,0,0,0,0
26,6,0,1,0,0
26,7,1,1,0,1
26,8,1,1,0,1
26,9,1,1,0,1
27,1,0,1,0,0
27,2,0,1,0,0
27,3,0,1,0,0
27,4,0,0,0,0
27,5,0,1,0,0
27,6,1,1,0,1
27,7,1,1,0,1
27,8,0,1,0,0
27,9,0,1,0,0
28,1,1,1,1,1
28,2,0,1,1,1
28,3,0,1,0,0
28,4,0,0,0,0
28,5,0,1,0,0
28,6,1,1,0,1
28,7,1,1,1,1
28,8,1,1,0,1
28,9,0,1,0,0
29,1,0,1,0,0
29,2,0,1,0,0
29,3,0,1,0,0
29,4,0,0,0,0
29,5,0,1,0,0
29,6,1,1,0,1
29,7,1,1,0,1
29,8,1,1,0,1
29,9,1,1,0,1
30,1,0,1,0,0
30,2,0,1,0,0
30,3,0,0,0,0
30,4,0,1,0,0
30,5,0,1,0,0
30,6,1,1,0,1
30,7,1,1,0,1
30,8,0,1,0,0
30,9,0,1,0,0
31,1,0,1,0,0
31,2,0,0,0,0
31,3,0,0,0,0
31,4,0,1,0,0
31,5,1,1,0,1
31,6,1,1,1,1
31,7,1,1,0,1
31,8,1,1,0,1
31,9,0,1,0,0
32,1,0,0,0,0
32,2,0,0,0,0
32,3,0,0,0,0
32,4,0,1,0,0
32,5,1,1,0,1
32,6,1,1,1,1
32,7,1,1,1,1
32,8,1,1,1,1
32,9,1,1,0,1
33,1,0,0,0,0
33,2,0,0,0,0
33,3,0,0,0,0
33,4,0,1,0,0
33,5,1,1,0,1
33,6,1,1,1,1
33,7,1,1,1,1
33,8,1,1,0,1
33,9,0,1,0,0
34,1,0,0,0,0
34,2,0,0,0,0
34,3,0,0,0,0
34,4,0,1,0,0
34,5,1,1,0,1
34,6,1,1,1,1
34,7,1,1,0,1
34,8,0,1,0,0
34,9,0,1,0,0
35,1,0,0,0,0
35,2,0,0,0,0
35,3,0,0,0,0
35,4,0,1,0,0
35,5,0,1,0,0
35,6,1,1,0,1
35,7,1,1,0,1
35,8,0,1,0,0
35,9,0,1,0,0
36,1,0,0,0,0
36,2,0,0,0,0
36,3,0,0,0,0
36,4,0,0,0,0
36,5,0,1,0,0
36,6,1,1,0,1
36,7,1,1,0,1
36,8,0,1,0,0
36,9,0,1,0,0
37,1,0,1,0,0
37,2,0,0,0,0
37,3,0,0,0,0
37,4,0,0,0,0
37,5,0,0,0,0
37,6,0,1,0,0
37,7,1,1,0,1
37,8,0,1,0,0
37,9,0,1,0,0
38,1,0,1,0,0
38,2,0,1,0,0
38,3,0,1,0,0
38,4,0,1,0,0
38,5,0,0,0,0
38,6,0,1,0,0
38,7,1,1,0,1
38,8,0,1,0,0
38,9,0,1,0,0
39,1,0,1,0,0
39,2,0,0,0,0
39,3,0,0,0,0
39,4,0,0,0,0
39,5,0,0,0,0
39,6,0,1,0,0
39,7,0,1,0,0
39,8,0,1,0,0
39,9,0,1,0,0
40,1,0,1,0,0
40,2,0,1,0,0
40,3,0,0,0,0
40,4,0,0,0,0
40,5,0,0,0,0
40,6,0,1,0,0
40,7,1,1,0,1
40,8,0,1,0,0
40,9,0,0,0,0
41,1,0,1,0,0
41,2,0,1,0,0
41,3,0,1,0,0
41,4,0,1,0,0
41,5,0,1,0,0
41,6,1,1,0,1
41,7,1,1,0,1
41,8,0,1,0,0
41,9,0,0,0,0
42,1,0,0,0,0
42,2,0,1,0,0
42,3,0,1,0,0
42,4,0,1,0,0
42,5,0,1,0,0
42,6,1,1,0,1
42,7,1,1,0,1
42,8,0,1,0,0
42,9,0,1,0,0
43,1,0,1,0,0
43,2,0,1,0,0
43,3,0,1,0,0
43,4,0,1,0,0
43,5,0,1,0,0
43,6,1,1,1,1
43,7,1,1,0,1
43,8,1,1,0,1
43,9,0,1,0,0
44,1,0,0,0,0
44,2,0,1,0,0
44,3,0,1,0,0
44,4,0,1,0,0
44,5,0,1,0,0
44,6,1,1,1,1
44,7,1,1,0,1
44,8,1,1,0,1
44,9,0,1,0,0
45,1,0,0,0,0
45,2,0,0,0,0
45,3,0,1,0,0
45,4,0,1,0,0
45,5,0,1,0,0
45,6,1,1,1,1
45,7,1,1,0,1
45,8,1,1,1,1
45,9,1,1,0,1
46,1,0,0,0,0
46,2,0,0,0,0
46,3,0,0,0,0
46,4,0,0,0,0
46,5,0,1,0,0
46,6,1,1,1,1
46,7,1,1,1,1
46,8,1,1,1,1
46,9,1,1,1,1
47,1,0,0,0,0
47,2,0,0,0,0
47,3,0,0,0,0
47,4,0,0,0,0
47,5,0,0,0,0
47,6,0,1,0,0
47,7,1,1,0,1
47,8,1,1,1,1
47,9,1,1,1,1
48,1,0,0,0,0
48,2,0,0,0,0
48,3,0,0,0,0
48,4,0,0,0,0
48,5,0,0,0,0
48,6,0,0,0,0
48,7,1,1,0,1
48,8,1,1,1,1
48,9,1,1,1,1
49,1,0,0,0,0
49,2,0,1,0,0
49,3,0,0,0,0
49,4,0,0,0,0
49,5,0,0,0,0
49,6,0,0,0,0
49,7,1,1,0,1
49,8,1,1,1,1
49,9,1,1,1,1
50,1,0,0,0,0
