time,rho1,rho2,rho3,rho4,rho5,rho6,rho7,rho8,rho9
3918,2,1,2,3,3,3,2,2,2
3919,2,2,2,3,3,3,3,2,2
3920,2,2,3,3,3,3,3,2,2
3921,2,2,2,3,3,3,3,2,2
3922,1,1,2,3,3,3,2,2,2
3923,1,1,3,3,3,3,2,1,1
3924,2,2,3,3,3,3,2,1,1
3925,1,2,2,3,3,3,2,1,1
3926,2,2,2,3,3,3,2,2,2
3927,2,3,3,3,3,3,2,2,2
3928,2,2,3,3,3,2,2,2,2
3929,2,2,3,3,3,2,2,2,2
3930,2,2,3,3,3,3,2,2,2
3931,2,2,3,3,3,2,2,2,2
3932,2,2,3,3,3,2,2,2,2
3933,2,2,3,3,3,3,2,2,2
3934,3,3,3,3,3,3,3,2,2
3935,3,3,3,3,3,3,3,3,3
3936,3,3,3,3,3,3,3,3,3
3937,2,2,3,3,3,3,3,2,2
3938,3,3,3,3,3,3,3,2,2
3939,3,3,3,3,3,3,3,3,3
3940,2,2,3,3,3,3,3,3,3
3941,2,2,3,3,3,3,3,2,2
3942,2,2,3,3,3,3,3,3,3
3943,2,2,3,3,3,3,2,3,3
3944,3,3,3,3,3,2,2,2,2
3945,3,3,3,3,3,2,2,2,2
3946,3,3,3,3,2,2,2,2,2
3947,2,2,3,2,2,2,2,2,2
3948,2,2,3,2,2,2,2,2,2
3949,2,2,2,2,2,2,2,2,2
3950,2,2,2,2,2,2,1,2,2
3951,1,1,2,2,2,1,1,1,1
3952,2,1,2,2,2,2,1,1,1
3953,1,1,2,2,2,2,1,1,1
3954,1,1,2,2,2,2,1,1,1
3955,1,1,2,2,2,2,2,2,2
3956,1,1,2,2,2,2,2,2,2
3957,1,1,2,3,3,2,2,2,2
3958,1,1,3,3,2,2,2,2,2
3959,2,2,3,3,3,3,2,1,1
3960,2,2,3,3,3,2,1,1,1
3961,3,2,3,3,3,2,1,1,1
3962,2,1,2,3,3,3,2,2,2
3963,1,1,3,3,3,3,3,2,2
3964,1,1,3,3,3,3,2,2,2
3965,2,2,3,3,3,3,2,2,2
3966,1,2,3,3,3,3,2,2,2
3967,1,2,3,3,3,3,2,2,2
3968,1,1,2,3,2,2,2,1,1
3969,1,1,2,3,2,2,2,2,2
3970,1,1,2,3,2,2,2,2,2
3971,1,2,2,3,2,2,2,2,2
3972,1,2,3,3,2,2,2,2,2
3973,2,3,3,3,2,2,1,1,1
3974,1,2,3,3,2,2,1,1,1
3975,2,2,3,3,3,2,1,1,1
3976,2,2,3,3,3,2,1,1,1
3977,2,2,3,3,3,2,2,2,2
3978,2,2,3,3,3,2,2,2,2
3979,2,2,3,3,3,2,1,1,1
3980,2,2,3,3,3,2,1,1,1
3981,1,1,3,3,3,3,2,1,1
3982,1,1,2,3,3,3,2,1,1
3983,1,1,2,3,3,3,3,2,2
3984,2,2,2,3,3,3,3,2,2
3985,1,1,2,3,3,3,3,2,2
3986,2,1,2,3,3,3,2,2,2
3987,2,1,2,3,3,3,2,2,2
3988,2,1,2,3,2,2,2,2,2
3989,2,2,2,2,2,2,2,2,2
3990,3,2,2,3,2,2,2,2,2
3991,3,3,2,2,2,2,2,2,2
3992,2,2,2,2,2,2,2,2,2
3993,3,2,2,2,2,2,2,2,2
3994,2,2,2,2,2,2,2,2,2
3995,2,2,2,2,2,2,2,1,1
3996,3,3,3,2,2,2,2,2,2
3997,2,2,2,3,2,2,2,2,2
3998,3,2,2,3,2,2,2,2,2
3999,2,1,2,3,3,3,3,2,2
4000,3,2,2,3,3,3,2,2,2
4001,2,1,2,2,3,3,2,2,2
4002,3,2,2,3,3,3,3,2,2
4003,3,2,2,2,2,2,2,2,2
4004,2,1,2,2,2,2,2,2,2
4005,2,1,2,2,2,2,2,2,2
4006,2,1,2,2,2,2,2,2,2
4007,2,1,2,3,2,2,2,2,2
4008,2,1,2,2,2,2,2,2,2
4009,1,1,2,2,2,2,2,2,2
4010,2,2,2,2,2,2,2,2,2
4011,2,1,2,3,3,2,2,2,2
4012,3,3,3,3,3,2,1,2,2
4013,3,3,3,3,3,2,2,2,2
4014,3,3,3,3,3,2,2,1,1
4015,2,2,3,3,3,2,2,2,2
4016,2,2,3,3,3,2,2,2,2
4017,1,1,2,3,3,3,2,2,2
4018,2,2,3,3,3,3,2,2,2
4019,2,2,3,3,3,3,2,2,2
4020,1,1,2,3,3,3,2,2,2
4021,1,1,2,3,3,3,3,2,2
4022,2,1,2,3,3,3,2,2,2
4023,2,1,2,2,2,3,3,2,2
4024,3,2,2,2,2,2,2,2,2
4025,1,1,2,1,1,2,2,2,2
4026,1,1,2,2,2,2,2,2,2
4027,3,3,3,3,2,2,2,2,2
4028,3,2,2,2,2,3,2,2,2
4029,2,2,3,2,2,3,3,2,2
4030,2,2,2,2,2,2,2,1,1
4031,1,1,2,2,2,3,3,2,2
4032,1,1,2,2,3,3,2,2,2
4033,1,1,2,2,2,3,2,2,2
4034,1,1,2,2,2,3,3,2,2
4035,1,1,2,3,3,3,2,2,2
4036,1,1,2,3,2,2,2,1,1
4037,1,2,3,3,2,2,2,2,2
4038,2,2,3,2,2,2,2,2,2
4039,2,2,2,2,2,2,2,2,2
4040,1,1,2,2,2,2,2,2,2
4041,1,1,2,3,2,2,2,2,2
4042,2,2,2,3,3,2,2,2,2
4043,1,2,3,3,3,2,2,2,2
4044,1,2,3,3,3,2,1,1,1
4045,1,2,3,3,3,2,2,2,2
4046,1,2,3,3,3,2,2,2,2
4047,2,2,3,3,3,3,2,1,1
4048,2,2,3,3,3,3,2,2,2
4049,1,1,2,3,3,3,2,2,2
4050,1,1,2,3,3,3,2,1,1
4051,1,1,2,3,3,2,2,1,1
4052,1,1,2,3,3,3,2,2,2
4053,2,1,2,3,3,3,2,2,2
4054,2,1,2,3,3,3,2,2,2
4055,1,1,2,2,2,2,1,1,1
4056,1,1,2,2,2,2,1,1,1
4057,2,1,2,2,2,3,2,2,2
4058,1,1,2,3,2,3,2,2,2
4059,1,1,2,3,2,3,2,2,2
4060,2,2,2,3,3,3,2,2,2
4061,1,1,2,3,2,2,2,2,2
4062,1,2,3,3,3,3,3,2,2
4063,1,1,3,3,3,3,3,2,2
4064,1,1,2,3,3,3,2,2,2
4065,1,1,2,3,3,2,2,2,2
4066,1,1,2,3,3,3,1,1,1
4067,1,1,2,3,3,2,1,1,1
4068,2,1,2,2,2,2,1,1,1
4069,2,2,2,2,2,1,1,1,1
4070,2,2,2,2,1,1,1,1,1
4071,1,1,2,2,1,1,1,1,1
4072,1,1,2,2,1,1,1,1,1
4073,2,2,2,2,2,1,1,1,1
4074,2,2,3,3,2,2,2,2,2
4075,2,2,3,3,2,2,2,2,2
4076,1,1,2,2,2,2,2,2,2
4077,1,1,2,2,2,2,2,2,2
4078,2,2,2,2,2,2,2,2,2
4079,2,2,2,2,2,1,1,1,1
4080,2,2,2,2,1,1,1,1,1
4081,1,2,2,2,1,1,1,1,1
4082,1,2,2,2,1,1,1,1,1
4083,1,2,2,2,1,1,1,1,1
4084,1,2,3,2,1,1,1,1,1
4085,1,1,3,3,2,1,1,1,1
4086,1,1,2,2,2,1,1,1,1
4087,1,1,2,2,1,1,1,1,1
4088,1,1,2,2,2,1,1,1,1
4089,2,1,2,2,2,2,2,1,1
4090,2,2,3,3,2,2,2,1,1
4091,2,2,3,3,2,2,2,1,1
4092,2,2,3,3,2,2,2,1,1
4093,3,2,3,3,2,2,2,1,1
4094,2,2,3,3,3,2,2,1,1
4095,2,2,3,3,2,2,1,1,1
4096,2,2,3,3,2,2,1,1,1
4097,2,2,3,3,2,2,1,1,1
4098,2,2,3,3,3,2,1,1,1
4099,2,2,3,3,3,3,1,1,1
4100,2,2,3,3,3,3,1,1,1
4101,2,2,3,3,3,3,1,1,1
4102,1,1,2,3,3,2,1,1,1
4103,1,2,3,3,3,2,2,1,1
4104,1,2,3,3,3,2,1,1,1
4105,1,2,3,3,2,1,1,1,1
4106,1,2,3,3,3,2,1,1,1
4107,2,2,3,3,3,2,1,1,1
4108,2,2,3,3,3,1,1,1,1
4109,2,2,3,3,2,2,1,1,1
4110,3,2,3,2,2,1,1,1,1
4111,2,2,3,3,2,1,1,1,1
4112,2,2,3,2,1,1,1,1,1
4113,1,1,2,2,2,1,1,1,1
4114,2,1,3,3,2,1,1,1,1
4115,2,1,2,2,1,1,1,1,1
4116,2,1,2,3,3,1,1,1,1
4117,2,2,3,3,3,1,1,1,1
4118,2,2,3,3,2,1,1,1,1
4119,2,2,3,3,2,2,1,1,1
4120,2,2,2,3,2,1,1,1,1
4121,2,2,3,3,2,1,1,2,2
4122,2,2,3,2,1,1,1,1,1
4123,2,2,3,2,1,1,1,1,1
4124,1,2,3,3,2,1,1,1,1
4125,2,2,3,2,2,1,1,1,1
4126,2,2,3,3,2,2,2,2,2
4127,2,2,3,3,3,3,2,2,2
4128,2,2,3,3,3,3,3,3,3
4129,2,2,3,3,3,3,3,3,3
4130,2,2,3,3,2,2,2,2,2
4131,2,2,3,2,2,2,1,1,1
4132,1,1,2,2,2,2,2,1,1
4133,2,1,2,2,2,2,2,2,2
4134,2,1,2,3,2,2,2,2,2
4135,1,1,2,2,2,3,3,3,3
4136,1,1,2,3,2,3,3,3,3
4137,1,1,2,3,3,3,3,3,3
4138,2,1,2,3,3,3,3,3,3
4139,2,2,2,3,3,3,3,3,3
4140,3,2,3,3,3,3,3,3,3
4141,3,2,3,3,3,3,3,2,2
4142,3,2,3,3,3,2,2,2,2
4143,2,2,3,3,3,3,2,2,2
4144,3,1,2,3,3,2,2,2,2
4145,3,2,3,3,3,2,2,2,2
4146,3,2,3,3,3,2,2,2,2
4147,3,3,3,3,3,3,3,2,2
4148,3,3,3,3,3,3,2,2,2
4149,3,3,3,3,3,3,2,2,2
4150,3,3,3,3,3,3,3,1,1
4151,3,3,3,3,3,3,2,1,1
4152,3,2,2,3,3,3,2,2,2
4153,3,3,3,2,2,2,2,2,2
4154,3,3,3,3,3,3,3,2,2
4155,2,2,2,3,2,2,2,2,2
4156,2,2,3,3,3,3,3,3,3
4157,2,1,2,3,3,3,3,3,3
4158,2,2,3,3,3,3,3,3,3
4159,2,2,3,3,3,3,2,2,2
4160,2,2,3,3,3,2,2,2,2
4161,3,2,2,3,2,2,2,2,2
4162,2,2,2,2,2,2,2,2,2
4163,1,1,2,2,2,2,2,1,1
4164,2,1,2,2,2,2,2,2,2
4165,2,1,2,2,2,2,1,1,1
4166,2,2,3,3,2,2,2,2,2
4167,2,1,2,2,2,3,2,2,2
4168,2,2,2,2,2,3,3,2,2
4169,2,2,2,2,3,3,3,2,2
4170,1,1,2,2,3,3,3,3,3
4171,1,1,2,2,3,3,3,3,3
4172,1,1,2,2,3,3,3,2,2
4173,1,1,2,3,3,3,3,3,3
4174,1,1,2,3,3,3,3,3,3
4175,1,1,2,3,3,3,3,3,3
4176,1,1,2,3,3,3,3,2,2
4177,1,1,2,3,2,2,2,2,2
4178,1,1,2,2,2,2,2,2,2
4179,1,1,2,3,2,2,2,2,2
4180,1,2,2,3,3,3,2,2,2
4181,1,1,2,3,3,3,2,2,2
4182,2,2,3,3,3,3,3,2,2
4183,2,2,3,3,3,3,3,2,2
4184,2,2,3,3,3,3,3,2,2
4185,3,3,3,3,3,3,3,2,2
4186,2,3,3,3,3,2,1,1,1
4187,3,3,3,3,3,2,1,1,1
4188,2,2,3,3,3,2,1,1,1
4189,2,3,3,3,3,3,2,1,1
4190,2,3,3,3,3,3,2,2,2
4191,1,2,3,3,3,2,2,2,2
4192,1,1,3,3,3,2,2,2,2
4193,1,1,2,3,3,2,2,2,2
4194,1,1,2,3,3,2,2,2,2
4195,1,1,2,3,3,2,2,2,2
4196,1,1,2,3,3,2,2,1,1
4197,2,2,3,3,3,2,2,2,2
4198,2,2,3,3,3,2,2,2,2
4199,2,2,3,3,2,2,2,2,2
4200,1,1,3,3,2,2,2,2,2
4201,1,1,2,3,2,2,2,2,2
4202,1,1,2,3,2,2,2,2,2
4203,1,2,2,3,3,2,2,2,2
4204,2,2,3,3,3,2,2,2,2
4205,1,1,2,3,3,2,2,2,2
4206,1,1,2,3,2,1,2,2,2
4207,1,1,2,3,2,2,2,2,2
4208,2,2,3,3,3,2,2,2,2
4209,2,2,3,3,3,3,2,2,2
4210,3,2,3,3,3,3,2,2,2
4211,2,2,3,3,3,2,2,1,1
4212,2,2,3,3,3,3,2,2,2
4213,1,1,2,3,3,2,2,1,1
4214,1,2,3,3,3,2,2,1,1
4215,2,2,3,3,3,2,2,1,1
4216,2,2,3,3,3,3,2,2,2
4217,2,2,3,3,3,3,2,2,2
4218,3,3,3,3,3,2,1,1,1
4219,3,3,3,3,2,1,1,1,1
4220,3,3,3,3,2,1,1,1,1
4221,3,3,3,3,3,1,1,1,1
4222,3,3,3,3,3,2,1,1,1
4223,3,3,3,3,3,2,1,1,1
4224,2,2,3,3,3,2,1,1,1
4225,2,2,3,3,2,1,1,1,1
4226,1,1,3,3,2,2,1,1,1
4227,2,2,3,3,2,2,2,1,1
4228,2,1,2,3,2,1,1,1,1
4229,3,2,3,3,2,2,1,1,1
4230,2,2,3,3,2,1,1,1,1
4231,2,2,3,2,2,2,1,1,1
4232,3,2,3,3,2,2,1,1,1
4233,3,2,2,3,2,2,1,1,1
4234,3,2,2,3,3,2,2,1,1
4235,2,2,2,3,3,2,2,1,1
4236,3,2,3,3,3,2,2,1,1
4237,2,2,3,3,3,3,2,1,1
4238,2,2,3,3,3,3,2,2,2
4239,2,2,3,3,3,2,2,2,2
4240,2,2,3,3,2,2,2,2,2
4241,2,2,3,3,3,2,1,1,1
4242,2,2,3,3,2,2,2,2,2
4243,2,2,3,3,2,2,1,1,1
4244,2,2,3,3,2,2,1,1,1
4245,1,2,3,3,3,2,2,1,1
4246,1,2,2,3,3,2,2,1,1
4247,1,2,2,3,3,2,2,1,1
4248,1,1,2,3,3,2,2,1,1
4249,1,1,2,3,3,2,2,2,2
4250,1,1,2,3,3,2,2,1,1
4251,1,1,2,3,3,2,2,2,2
4252,2,2,3,3,3,2,2,1,1
4253,3,3,3,3,3,3,2,2,2
4254,3,3,3,3,3,3,2,2,2
4255,3,3,3,3,3,3,2,1,1
4256,3,3,3,3,3,3,2,1,1
4257,2,2,3,3,3,3,2,1,1
4258,2,2,3,3,3,3,2,1,1
4259,2,3,3,3,2,2,2,1,1
4260,2,3,3,3,3,3,2,2,2
4261,2,3,3,3,3,3,3,2,2
4262,2,2,3,3,2,2,3,2,2
4263,2,2,3,3,2,2,2,2,2
4264,2,3,3,3,3,2,2,2,2
4265,3,3,3,3,3,3,2,2,2
4266,2,2,3,3,3,2,2,2,2
4267,2,3,3,3,2,2,2,2,2
4268,2,3,3,3,2,2,2,2,2
4269,3,3,3,3,2,2,2,2,2
4270,3,3,3,3,2,3,2,2,2
4271,3,3,3,3,3,3,3,2,2
4272,3,3,3,3,3,3,2,2,2
4273,3,3,3,3,3,3,2,1,1
4274,3,3,3,3,3,3,1,1,1
4275,3,3,3,3,3,2,1,1,1
4276,3,3,3,3,3,3,1,1,1
4277,3,3,3,3,3,2,1,1,1
4278,3,3,3,3,3,2,2,2,2
4279,2,2,2,3,3,3,3,3,3
4280,2,2,3,3,3,3,3,3,3
4281,3,3,3,3,3,3,3,3,3
4282,3,3,3,3,3,3,3,3,3
4283,3,3,3,3,3,3,3,3,3
4284,3,3,3,3,3,3,3,3,3
4285,3,3,3,3,3,3,3,3,3
4286,3,3,3,3,3,3,3,2,2
4287,3,3,3,3,3,3,3,2,2
4288,3,3,3,3,3,3,3,2,2
4289,3,2,3,3,3,3,3,2,2
4290,3,3,3,3,3,3,3,2,2
4291,3,2,2,3,3,3,3,2,2
4292,2,1,2,3,3,3,2,2,2
4293,2,1,2,3,3,3,2,2,2
4294,2,1,2,3,3,2,2,2,2
4295,2,2,3,3,2,2,2,2,2
4296,2,2,3,3,2,2,2,2,2
4297,2,2,3,3,2,2,2,2,2
4298,2,2,3,3,2,2,2,2,2
4299,2,2,3,3,2,2,2,2,2
4300,2,2,3,3,2,2,2,2,2
4301,3,3,3,2,2,2,2,2,2
4302,2,2,3,2,2,2,2,2,2
4303,2,2,3,2,2,2,2,2,2
4304,2,2,3,2,2,2,2,2,2
4305,1,1,2,1,1,1,2,2,2
4306,1,1,3,2,1,1,2,2,2
4307,1,2,3,3,2,2,2,2,2
4308,2,2,3,3,3,2,2,1,1
4309,1,2,2,3,2,2,1,1,1
4310,2,1,2,3,2,2,1,1,1
4311,2,1,2,3,2,2,1,1,1
4312,1,1,2,2,2,1,1,1,1
4313,1,1,2,2,2,1,1,1,1
4314,1,1,2,2,2,2,1,1,1
4315,1,1,2,3,3,2,2,1,1
4316,1,1,2,3,3,2,2,2,2
4317,1,1,2,3,3,2,2,2,2
4318,1,1,2,3,3,3,2,2,2
4319,1,2,3,3,3,3,2,1,1
4320,1,1,2,3,3,3,2,2,2
4321,2,2,2,3,3,3,2,1,1
4322,3,2,3,3,3,3,3,2,2
4323,2,2,2,3,3,3,3,3,3
4324,2,2,2,3,3,3,3,3,3
4325,1,1,2,3,2,3,3,3,3
4326,2,1,2,3,3,3,3,3,3
4327,2,2,3,3,2,2,2,2,2
4328,2,2,3,3,2,2,2,2,2
4329,2,2,2,3,2,2,2,2,2
4330,1,1,2,3,2,2,2,2,2
4331,2,2,2,3,2,2,2,2,2
4332,2,1,2,3,2,2,2,2,2
4333,2,1,2,3,2,2,2,2,2
4334,2,1,2,3,3,2,2,2,2
4335,2,1,2,3,3,3,2,2,2
4336,2,1,2,3,3,3,3,3,3
4337,2,1,2,3,3,3,3,3,3
4338,1,1,2,3,3,3,3,3,3
4339,1,1,2,3,3,3,3,3,3
4340,1,1,2,3,3,3,3,3,3
4341,1,1,2,3,3,3,3,2,2
4342,1,1,2,3,3,2,2,2,2
4343,2,1,3,3,3,3,2,2,2
4344,1,1,2,3,3,3,2,2,2
4345,1,1,2,3,3,2,2,2,2
4346,2,1,2,3,3,2,2,2,2
4347,1,2,3,3,2,2,2,2,2
4348,1,1,3,3,2,2,2,2,2
4349,2,2,3,3,2,2,2,2,2
4350,2,2,3,3,2,2,2,2,2
4351,2,3,3,3,3,3,2,2,2
4352,1,2,3,3,3,2,2,2,2
4353,1,2,3,3,3,3,3,2,2
4354,2,2,3,3,3,3,3,2,2
4355,2,3,3,3,3,3,3,2,2
4356,2,2,3,3,3,3,3,2,2
4357,2,2,3,3,3,3,3,2,2
4358,1,2,3,3,3,3,3,2,2
4359,1,2,3,3,2,3,3,2,2
4360,1,2,3,3,3,3,3,3,3
4361,1,2,3,3,3,3,3,3,3
4362,2,2,3,3,3,3,3,3,3
4363,1,2,3,3,3,3,3,3,3
4364,1,1,2,3,3,3,3,3,3
4365,1,1,2,2,3,3,3,3,3
4366,1,1,2,3,3,3,3,3,3
4367,1,1,2,3,3,3,3,3,3
4368,1,1,3,3,3,3,3,3,3
4369,1,1,2,3,3,3,3,3,3
4370,1,1,2,3,3,3,3,3,3
4371,1,1,2,2,3,3,3,3,3
4372,1,1,2,3,3,3,3,3,3
4373,1,1,2,2,3,3,3,3,3
4374,1,1,2,2,3,3,3,3,3
4375,1,1,2,2,3,3,3,3,3
4376,1,1,2,2,3,3,3,2,2
4377,1,1,2,2,3,3,3,2,2
4378,1,1,2,2,3,3,3,3,3
4379,1,1,2,2,3,3,3,3,3
4380,1,1,2,2,3,3,3,3,3
4381,1,1,2,3,3,3,3,3,3
4382,1,1,2,3,3,3,3,3,3
4383,1,1,2,3,3,3,3,3,3
4384,1,1,2,3,3,3,3,3,3
4385,1,1,2,2,3,3,3,3,3
4386,1,1,2,3,3,3,3,3,3
4387,1,1,2,3,3,3,3,3,3
4388,1,2,3,3,3,3,3,3,3
4389,1,2,3,3,3,3,3,3,3
4390,1,2,2,3,3,3,3,3,3
4391,1,1,2,2,3,3,3,3,3
4392,1,1,2,3,3,3,3,3,3
4393,1,1,2,3,3,3,3,3,3
4394,1,1,2,3,3,3,3,3,3
4395,1,1,2,3,3,3,3,3,3
4396,1,1,2,3,3,3,3,3,3
4397,1,1,2,3,3,3,3,3,3
4398,1,1,2,3,3,3,3,3,3
4399,1,1,2,3,3,3,3,3,3
4400,1,1,2,3,3,3,3,3,3
4401,1,1,2,3,3,3,3,3,3
4402,1,1,2,3,3,3,3,3,3
4403,1,1,2,3,3,3,3,3,3
4404,1,1,2,3,3,3,3,3,3
4405,1,1,2,3,3,3,3,3,3
4406,1,1,2,3,3,3,3,3,3
4407,1,1,2,3,3,3,3,3,3
4408,1,1,2,3,3,3,3,2,2
4409,1,1,2,3,3,3,2,2,2
4410,1,1,2,3,3,3,2,2,2
4411,1,1,2,3,3,3,2,2,2
4412,1,1,2,3,3,3,2,2,2
4413,2,1,2,3,3,3,2,2,2
4414,2,1,2,3,3,3,3,2,2
4415,1,1,2,3,3,3,3,2,2
4416,1,1,2,3,3,3,3,3,3
4417,1,1,2,2,3,3,3,2,2
4418,1,1,2,2,3,3,3,3,3
4419,1,1,2,2,2,3,3,2,2
4420,1,1,2,2,2,3,3,2,2
4421,1,1,2,2,2,3,3,2,2
4422,1,1,2,3,3,3,3,2,2
4423,1,1,2,2,3,3,3,3,3
4424,1,1,2,3,3,3,3,2,2
4425,1,2,3,3,3,3,3,2,2
4426,1,2,3,3,3,3,3,2,2
4427,1,2,3,3,3,3,3,2,2
4428,2,3,3,3,3,3,3,2,2
4429,2,2,3,3,3,3,2,2,2
4430,2,2,3,3,3,3,3,2,2
4431,1,2,3,3,3,3,3,2,2
4432,2,2,3,3,3,3,3,2,2
4433,2,2,2,3,3,3,3,2,2
4434,2,1,2,3,3,3,2,2,2
4435,2,1,2,3,3,3,2,2,2
4436,2,2,3,3,3,3,2,2,2
4437,2,2,3,3,3,3,2,2,2
4438,3,3,3,3,3,3,2,2,2
4439,3,2,3,3,3,3,2,2,2
4440,3,3,3,3,3,2,2,2,2
4441,2,2,3,3,3,3,2,2,2
4442,3,3,3,3,3,3,3,3,3
4443,3,3,3,3,3,3,2,2,2
4444,3,3,3,3,3,3,3,3,3
4445,2,2,3,3,3,3,3,3,3
4446,2,2,3,3,3,3,3,3,3
4447,2,2,3,3,3,3,3,3,3
4448,2,1,3,3,3,3,3,3,3
4449,2,1,2,3,3,3,3,2,2
4450,3,2,3,3,3,3,3,2,2
4451,2,2,3,3,2,2,2,2,2
4452,2,2,3,3,3,3,2,2,2
4453,2,2,2,2,2,2,2,2,2
4454,2,3,3,2,2,2,2,1,1
4455,2,2,3,3,2,2,1,1,1
4456,2,2,3,3,2,2,2,2,2
4457,2,2,2,2,2,2,2,2,2
4458,2,2,3,3,2,2,1,1,1
4459,2,2,3,3,3,2,1,1,1
4460,2,2,3,3,2,1,1,1,1
4461,2,2,2,3,2,2,1,1,1
4462,2,2,3,3,3,2,1,1,1
4463,1,1,2,3,2,2,1,1,1
4464,1,1,2,3,3,2,2,2,2
4465,2,1,3,3,3,2,2,2,2
4466,1,1,3,3,2,2,2,2,2
4467,1,2,3,3,3,2,2,2,2
4468,1,1,3,3,2,2,2,2,2
4469,1,2,3,3,3,3,2,2,2
4470,1,2,3,3,3,3,2,2,2
4471,2,2,3,3,2,2,2,1,1
4472,1,1,3,3,2,2,2,2,2
4473,2,1,2,2,2,2,2,1,1
4474,1,1,2,1,1,1,1,1,1
4475,1,1,2,3,2,2,2,2,2
4476,1,2,3,3,2,2,2,2,2
4477,2,2,2,3,3,3,3,2,2
4478,2,2,3,3,3,3,3,2,2
4479,2,2,2,3,3,3,1,1,1
4480,2,2,2,3,2,1,1,1,1
4481,2,1,2,2,1,1,1,1,1
4482,2,1,2,2,2,1,1,1,1
4483,2,1,2,2,2,1,1,1,1
4484,2,1,2,2,2,2,1,1,1
4485,2,2,2,3,3,2,2,1,1
4486,2,2,3,3,3,3,3,2,2
4487,2,2,3,3,3,3,2,2,2
4488,2,3,3,3,3,3,2,1,1
4489,2,2,3,3,3,3,2,2,2
4490,2,2,3,3,3,3,2,2,2
4491,2,2,3,3,3,3,2,2,2
4492,2,2,3,3,3,3,2,2,2
4493,3,3,3,3,3,3,2,2,2
4494,2,2,3,3,3,3,2,2,2
4495,2,2,3,3,3,2,2,2,2
4496,1,2,3,3,3,2,2,1,1
4497,1,2,3,3,3,2,2,2,2
4498,1,2,3,3,3,2,2,1,1
4499,1,2,3,3,3,2,2,1,1
4500,1,1,3,3,3,2,2,1,1
4501,1,2,3,3,3,2,2,1,1
4502,1,2,3,3,3,2,2,2,2
4503,1,2,3,3,3,2,2,2,2
4504,2,2,3,3,3,3,2,2,2
4505,2,2,3,3,3,3,2,2,2
4506,2,2,3,3,3,2,2,1,1
4507,2,2,3,3,3,2,2,1,1
4508,1,2,3,3,3,2,2,1,1
4509,1,2,3,3,3,2,2,2,2
4510,1,2,3,3,2,2,2,2,2
4511,1,1,3,3,2,2,2,2,2
4512,1,1,3,3,2,2,2,2,2
4513,1,1,3,3,2,2,2,2,2
4514,1,1,3,3,3,2,2,2,2
4515,1,2,3,3,3,2,2,2,2
4516,1,2,3,3,3,3,2,2,2
4517,1,2,3,3,3,3,2,2,2
4518,1,2,3,3,3,3,2,2,2
4519,1,2,3,3,3,3,2,2,2
4520,1,1,3,3,3,3,2,2,2
4521,1,1,3,3,3,3,2,2,2
4522,1,2,3,3,3,2,2,2,2
4523,1,2,3,3,3,2,2,2,2
4524,2,2,3,3,3,2,2,1,1
4525,2,2,3,3,3,2,2,1,1
4526,2,2,3,3,3,2,2,1,1
4527,1,1,3,3,3,2,2,1,1
4528,2,2,3,3,3,2,1,1,1
4529,2,2,3,3,2,2,1,1,1
4530,2,1,2,3,2,2,1,1,1
4531,1,1,3,3,2,1,1,1,1
4532,2,2,3,3,2,1,1,1,1
4533,2,2,3,3,2,1,1,1,1
4534,2,2,3,3,3,2,1,1,1
4535,2,2,3,3,2,2,1,1,1
4536,2,2,2,3,2,2,1,1,1
4537,1,2,2,3,3,2,1,1,1
4538,1,2,3,3,2,2,1,1,1
4539,1,1,2,3,2,1,1,1,1
4540,1,1,2,3,2,1,1,1,1
4541,1,2,3,2,2,1,1,1,1
4542,1,1,2,2,2,1,1,1,1
4543,1,1,2,2,2,1,1,1,1
4544,1,2,3,2,2,1,1,1,1
4545,1,2,3,3,2,1,1,1,1
4546,1,1,3,3,2,1,1,1,1
4547,1,1,3,3,3,1,1,1,1
4548,1,1,3,3,2,1,1,1,1
4549,1,1,3,3,2,1,1,1,1
4550,1,2,3,3,2,1,1,1,1
4551,1,2,3,3,3,2,1,1,1
4552,1,2,3,3,3,3,3,1,1
4553,2,2,3,3,3,3,2,1,1
4554,1,2,3,3,3,2,2,1,1
4555,2,2,3,3,2,2,2,1,1
4556,1,1,2,2,2,2,2,1,1
4557,1,1,2,3,3,3,2,2,2
4558,1,1,2,2,2,3,2,2,2
4559,1,1,2,2,2,3,2,2,2
4560,1,1,2,2,2,3,2,2,2
4561,1,1,2,2,2,3,2,2,2
4562,1,1,2,2,2,2,2,2,2
4563,1,1,2,2,2,3,3,2,2
4564,1,1,2,2,2,3,3,2,2
4565,1,1,2,2,2,3,3,2,2
4566,1,1,2,2,2,3,3,3,3
4567,1,1,2,2,3,3,3,3,3
4568,1,1,2,3,3,3,3,3,3
4569,1,1,2,3,3,3,3,3,3
4570,1,1,2,3,3,3,3,3,3
4571,1,1,2,3,3,3,3,3,3
4572,1,1,2,3,3,3,3,3,3
4573,1,1,2,3,2,3,3,3,3
4574,2,2,2,3,2,3,3,3,3
4575,1,2,2,3,2,3,3,3,3
4576,1,2,2,2,2,3,3,2,2
4577,1,1,2,3,3,3,2,2,2
4578,1,1,2,3,2,2,2,2,2
4579,1,1,2,2,2,2,2,1,1
4580,1,1,2,2,2,2,2,1,1
4581,2,1,2,2,2,2,2,1,1
