time,rho1,rho2,rho3,rho4,rho5,rho6,rho7,rho8,rho9
158,2,2,3,3,2,2,2,2,2
159,2,2,3,2,2,2,2,2,2
160,2,3,3,3,2,2,2,2,2
161,1,2,3,2,1,1,1,1,1
162,1,2,2,2,1,1,2,2,2
163,2,2,2,2,1,1,2,2,2
164,1,1,2,2,2,1,1,1,1
165,2,2,2,2,2,2,2,1,1
166,2,1,2,3,3,2,2,1,1
167,2,1,2,2,2,2,2,2,2
168,2,1,2,3,2,2,2,2,2
169,2,1,2,3,2,2,2,2,2
170,2,1,2,2,2,2,2,2,2
171,1,1,2,3,3,3,3,2,2
172,1,1,2,3,3,3,3,3,3
173,1,1,3,3,3,2,2,2,2
174,2,2,3,3,3,2,2,2,2
175,1,2,3,3,3,3,2,1,1
176,2,2,3,3,3,2,2,1,1
177,1,2,3,3,3,2,2,2,2
178,1,2,3,3,3,2,2,2,2
179,1,1,3,3,3,2,2,2,2
180,1,1,3,3,3,2,2,2,2
181,1,1,2,2,1,1,1,2,2
182,1,1,2,2,1,1,1,2,2
183,1,2,2,2,1,1,1,1,1
184,2,2,3,3,2,2,1,2,2
185,3,2,3,3,1,1,1,1,1
186,2,2,3,2,2,2,2,2,2
187,2,2,3,3,2,2,2,2,2
188,3,3,3,3,2,2,2,2,2
189,3,3,3,3,2,2,2,1,1
190,3,3,3,3,2,2,1,1,1
191,3,3,3,3,2,2,2,2,2
192,1,2,3,3,2,2,2,2,2
193,2,2,3,3,2,2,1,1,1
194,3,3,3,2,1,1,1,1,1
195,3,3,3,2,2,2,1,1,1
196,3,2,3,3,2,2,1,1,1
197,3,3,3,3,2,2,2,2,2
198,3,3,3,3,3,2,2,2,2
199,3,3,3,3,2,1,1,1,1
200,2,2,2,2,1,1,1,1,1
201,2,2,3,3,2,1,1,1,1
202,3,3,3,3,2,1,1,1,1
203,3,3,3,3,3,2,2,1,1
204,3,3,3,3,2,2,1,1,1
205,3,2,3,3,2,2,1,1,1
206,3,2,3,3,2,2,1,1,1
207,3,2,3,3,2,2,2,2,2
208,2,2,2,2,2,2,2,2,2
209,2,2,2,2,2,2,2,2,2
210,2,1,2,3,2,2,2,2,2
211,2,2,2,2,3,3,2,2,2
212,2,2,3,3,3,3,2,2,2
213,1,1,2,3,3,2,2,2,2
214,1,1,2,3,3,3,2,2,2
215,3,3,3,3,3,3,2,2,2
216,2,2,3,3,3,2,2,2,2
217,2,2,3,3,3,2,2,2,2
218,1,1,2,3,2,2,2,2,2
219,2,1,2,2,2,2,2,2,2
220,1,1,2,2,2,2,2,1,1
221,2,2,3,3,2,2,2,1,1
222,2,2,3,3,2,2,1,1,1
223,3,3,3,3,2,2,1,1,1
224,3,3,3,3,2,1,1,1,1
225,3,3,3,3,2,2,1,1,1
226,2,2,3,2,2,2,1,1,1
227,2,2,3,2,2,2,1,1,1
228,2,2,2,2,2,2,2,2,2
229,2,3,3,3,2,2,2,2,2
230,2,3,3,3,2,2,2,2,2
231,2,3,3,3,3,2,1,1,1
232,3,2,3,3,3,3,3,2,2
233,3,2,3,3,3,3,2,2,2
234,3,2,3,3,2,2,2,2,2
235,2,2,2,2,2,1,1,1,1
236,1,1,2,2,2,2,1,1,1
237,1,1,2,2,2,2,2,2,2
238,3,3,3,3,2,1,1,1,1
239,3,3,3,3,2,1,1,1,1
240,3,3,3,2,1,1,1,1,1
241,3,3,3,3,2,1,1,1,1
242,3,2,3,3,2,1,1,2,2
243,2,2,2,2,2,2,2,2,2
244,2,2,2,2,1,2,1,1,1
245,2,2,2,2,1,1,1,1,1
246,2,2,2,2,1,1,1,1,1
247,2,2,2,2,1,1,1,1,1
248,3,3,3,2,1,1,1,1,1
249,3,3,3,2,1,1,1,1,1
250,3,3,3,2,1,1,1,1,1
251,3,3,3,2,1,1,1,1,1
252,3,3,3,3,2,1,1,1,1
253,2,3,3,3,2,2,1,1,1
254,3,3,3,3,2,2,1,1,1
255,3,3,3,3,3,2,1,1,1
256,2,2,3,3,3,2,1,1,1
257,2,3,3,3,3,3,2,2,2
258,2,3,3,3,3,2,2,2,2
259,2,3,3,3,3,2,1,2,2
260,2,3,3,3,3,2,2,2,2
261,2,2,3,3,3,2,2,2,2
262,2,2,2,3,2,1,1,1,1
263,2,1,2,3,2,2,1,1,2
264,2,2,2,2,2,1,1,1,1
265,2,2,2,2,2,1,1,1,1
266,3,2,3,2,2,1,1,1,1
267,3,3,3,3,2,2,1,1,1
268,3,3,3,3,2,1,1,1,1
269,3,3,3,2,2,1,1,1,1
270,3,3,2,2,1,1,1,1,1
271,2,1,2,2,2,1,1,1,1
272,2,1,2,2,1,1,1,1,1
273,2,1,2,3,2,1,1,1,1
274,2,2,2,3,2,1,1,1,1
275,2,2,3,3,3,2,1,1,1
276,2,2,3,3,3,2,1,2,2
277,2,2,3,3,3,2,2,1,1
278,1,2,3,3,3,2,1,1,1
279,2,2,3,3,2,1,1,1,1
280,2,2,3,3,2,1,1,1,1
281,2,2,3,2,1,1,1,1,1
282,2,2,2,2,1,1,1,1,1
283,2,2,2,2,1,1,1,1,1
284,2,2,2,2,2,1,1,2,2
285,2,2,2,2,1,1,1,1,1
286,2,2,2,2,2,1,1,2,2
287,1,1,2,2,1,1,1,2,2
288,2,1,2,2,2,1,1,2,2
289,2,2,2,2,1,1,1,1,1
290,2,2,2,1,1,1,1,1,1
291,1,1,2,1,1,1,1,1,1
292,1,1,2,1,1,1,1,1,1
293,1,1,2,2,1,1,1,1,1
294,1,1,2,2,2,2,1,1,1
295,1,1,2,2,2,2,2,1,1
296,2,1,2,3,2,2,2,1,1
297,2,2,2,3,2,2,2,2,2
298,2,2,2,3,2,2,2,2,2
299,1,1,2,2,2,2,2,2,2
300,2,2,3,3,2,2,2,2,2
301,1,2,2,3,3,2,2,2,2
302,2,2,3,3,3,2,2,2,2
303,1,2,3,3,3,2,2,2,2
304,2,2,3,3,2,2,2,1,1
305,1,2,3,3,3,2,2,1,1
306,2,2,3,3,3,2,2,2,2
307,1,2,3,3,2,2,2,1,1
308,2,2,3,3,2,2,2,2,2
309,2,2,3,3,3,2,2,2,2
310,2,2,3,3,3,2,2,1,1
311,1,2,3,3,3,3,1,1,1
312,2,2,3,3,3,3,2,1,1
313,2,2,3,3,3,3,3,2,2
314,1,2,3,3,2,2,2,1,1
315,1,1,2,2,2,2,2,1,1
316,1,2,3,2,2,2,2,2,2
317,2,2,3,2,2,2,2,2,2
318,2,2,2,2,2,2,2,2,2
319,3,3,3,2,2,2,2,2,2
320,3,2,2,2,2,2,2,2,2
321,3,3,3,3,2,2,2,2,2
322,3,2,2,2,2,2,2,2,2
323,3,3,3,3,3,3,2,2,2
324,3,3,3,2,3,3,3,2,2
325,3,3,3,2,2,2,2,2,2
326,3,3,2,2,2,2,2,2,2
327,3,2,3,2,1,1,1,2,2
328,3,2,2,2,1,1,1,1,1
329,2,2,3,2,1,1,1,1,1
330,1,1,3,2,1,1,1,1,1
331,2,2,3,3,1,1,1,1,1
332,3,2,3,3,2,1,1,1,1
333,3,2,3,3,1,1,1,1,1
334,3,2,2,3,2,1,1,1,1
335,2,1,2,3,2,1,1,1,1
336,2,1,2,3,2,1,1,1,1
337,2,2,3,2,2,2,1,1,1
338,2,2,3,2,2,2,2,1,1
339,2,2,3,2,2,2,2,1,1
340,3,3,3,2,1,1,1,1,1
341,3,3,3,2,1,1,1,1,1
342,3,3,3,3,1,1,1,1,1
343,3,3,3,3,2,1,1,1,1
344,3,3,3,3,1,1,1,1,1
345,3,2,3,2,1,1,1,1,1
346,2,2,3,2,1,1,1,1,1
347,2,2,3,1,1,1,1,1,1
348,2,2,2,1,1,1,1,1,1
349,2,2,2,2,2,2,2,1,1
350,2,2,3,2,2,1,1,1,1
351,1,2,3,3,2,1,1,1,1
352,1,1,2,2,2,1,1,1,1
353,1,1,2,2,2,1,1,1,1
354,2,2,2,2,1,1,1,1,1
355,3,2,3,2,1,1,1,1,1
356,2,1,2,2,1,1,1,1,1
357,1,1,2,2,1,1,1,1,1
358,1,1,3,2,1,1,1,1,1
359,2,2,3,3,2,2,1,1,1
360,2,2,3,3,2,1,1,1,1
361,2,2,3,3,2,2,1,1,1
362,3,3,3,3,2,2,1,1,1
363,3,2,3,2,1,1,1,1,1
364,2,2,3,2,2,1,1,1,1
365,2,2,3,2,1,1,1,1,1
366,2,2,3,2,1,1,1,1,1
367,1,1,3,3,2,1,1,1,1
368,2,2,2,1,1,1,1,1,1
369,1,1,2,1,1,1,1,1,1
370,1,2,3,2,1,1,1,1,1
371,1,2,3,2,1,1,1,1,1
372,2,2,3,2,1,1,1,1,1
373,2,2,2,2,1,1,1,1,1
374,3,3,3,2,2,1,1,1,1
375,3,2,2,2,1,1,1,1,1
376,3,3,3,2,1,1,1,1,1
377,3,3,3,3,2,2,1,1,1
378,2,2,2,2,2,1,1,1,1
379,1,1,2,2,1,1,1,1,1
380,2,2,2,2,1,1,1,1,1
381,1,1,2,2,1,1,1,1,1
382,2,2,2,2,2,2,2,2,2
383,3,2,3,2,2,2,2,2,2
384,3,3,3,2,1,1,1,1,1
385,2,2,3,2,2,1,1,1,1
386,3,2,3,3,2,1,1,1,1
387,3,3,3,3,2,1,1,1,1
388,3,3,3,3,2,1,1,1,1
389,3,3,3,2,1,1,1,1,1
390,3,3,3,2,1,1,1,1,1
391,3,3,3,3,3,3,3,3,3
392,3,2,3,3,3,3,3,3,3
393,2,2,2,3,3,3,3,3,3
394,2,2,3,3,3,3,3,3,3
395,2,2,3,3,3,3,3,3,3
396,2,2,3,3,3,3,3,3,3
397,2,2,3,3,3,3,3,3,3
398,2,2,3,3,3,2,2,1,1
399,2,2,3,3,3,3,3,3,3
400,2,2,3,3,3,3,3,3,3
401,2,2,3,3,3,3,3,3,3
402,2,3,3,3,3,3,3,3,3
403,2,2,3,3,3,3,3,3,3
404,2,2,3,3,3,3,3,3,3
405,2,2,3,3,3,3,3,3,3
406,2,2,3,3,3,3,3,3,3
407,2,2,3,3,3,3,2,2,2
408,2,2,3,3,3,3,3,2,2
409,2,2,3,3,3,3,3,2,2
410,1,2,3,3,3,3,3,2,2
411,2,2,3,3,3,3,3,2,2
412,2,2,3,3,3,3,3,2,2
413,2,2,3,3,3,3,3,2,2
414,1,2,2,3,3,3,3,2,2
415,1,1,2,3,3,3,2,2,2
416,2,2,2,3,3,3,2,2,2
417,1,2,2,3,3,3,2,2,2
418,2,2,3,3,3,3,2,2,2
419,2,2,3,3,3,2,2,2,2
420,2,2,3,3,3,2,2,2,2
421,2,2,3,3,3,2,2,2,2
422,3,2,3,3,3,2,2,2,2
423,2,1,2,3,2,2,3,2,2
424,2,1,2,3,3,3,3,3,3
425,1,1,2,2,2,2,3,3,3
426,1,1,2,3,2,2,2,2,2
427,1,1,2,3,3,2,2,2,2
428,2,1,2,3,3,2,2,2,2
429,1,1,2,3,3,3,2,2,2
430,1,1,2,2,2,2,2,2,2
431,1,1,2,2,2,2,1,2,2
432,1,1,2,2,2,2,2,2,2
433,1,2,2,3,2,3,2,2,2
434,1,2,2,3,2,2,2,2,2
435,1,1,2,3,3,3,2,2,2
436,1,1,2,3,3,2,2,2,2
437,1,1,2,2,2,2,2,2,2
438,1,1,2,2,3,3,2,2,2
439,3,2,3,3,3,2,2,2,2
440,3,2,2,3,3,2,2,2,2
441,3,3,3,3,3,3,3,2,2
442,3,3,3,3,3,3,3,2,2
443,2,2,2,2,2,2,2,2,2
444,2,2,3,2,2,2,2,2,2
445,2,2,3,2,2,3,2,2,2
446,1,2,2,3,3,3,3,2,2
447,2,2,3,3,3,3,2,2,2
448,2,2,3,3,3,3,2,2,2
449,2,2,3,3,3,3,2,1,1
450,2,2,3,3,3,2,2,1,1
451,2,2,3,3,3,2,2,1,1
452,2,2,2,3,3,2,2,1,1
453,2,2,2,3,3,2,2,1,1
454,2,2,2,3,3,2,2,2,2
455,2,2,2,3,3,2,2,1,1
456,2,2,2,3,3,2,2,1,1
457,2,2,3,3,3,2,2,1,1
458,2,1,2,3,3,2,2,1,1
459,1,1,2,3,3,3,2,2,2
460,1,1,2,3,3,3,2,2,2
461,1,1,2,3,3,3,3,2,2
462,2,3,3,3,3,3,2,2,2
463,2,2,3,3,3,3,3,2,2
464,2,2,2,3,3,3,2,2,2
465,2,2,3,3,3,3,3,2,2
466,2,2,3,3,2,2,2,2,2
467,3,3,3,3,3,3,2,2,2
468,2,3,3,3,3,3,2,2,2
469,2,3,3,3,3,3,3,2,2
470,3,3,3,3,3,3,2,2,2
471,3,3,3,3,3,2,2,2,2
472,2,2,3,3,3,2,2,2,2
473,3,2,3,3,3,3,2,2,2
474,3,3,3,3,3,3,2,2,2
475,2,3,3,3,3,3,2,2,2
476,2,2,3,3,2,2,2,1,1
477,3,3,3,3,3,2,1,1,1
478,2,2,3,3,2,2,1,1,1
479,2,2,3,3,2,2,1,1,1
480,2,2,3,3,2,2,1,1,1
481,1,2,3,3,3,3,2,1,1
482,1,2,3,3,3,3,2,1,1
483,2,3,3,3,3,3,2,1,1
484,3,3,3,3,3,3,1,1,1
485,3,3,3,3,3,3,1,1,1
486,3,3,3,3,3,3,3,1,1
487,3,3,3,3,3,3,2,1,1
488,3,3,3,3,3,3,1,1,1
489,1,2,3,3,3,3,3,1,1
490,1,2,3,3,3,3,3,3,3
491,1,2,3,3,3,3,3,2,2
492,1,2,3,3,3,3,1,1,1
493,2,2,3,3,3,3,3,1,1
494,2,2,3,3,3,3,2,2,2
495,2,1,3,3,3,2,1,1,1
496,2,2,3,3,3,2,1,1,1
497,1,2,3,3,3,2,1,1,1
498,1,2,3,3,2,1,1,1,1
499,2,2,3,3,3,2,2,1,1
500,1,1,3,3,2,2,2,2,2
501,2,2,3,3,2,2,1,1,1
502,2,2,2,2,2,1,1,1,1
503,2,2,3,3,2,2,2,1,1
504,1,1,2,2,2,2,2,2,2
505,2,2,3,3,3,3,2,2,2
506,2,2,3,3,3,3,2,2,2
507,2,2,3,3,3,2,2,2,2
508,2,2,2,3,3,3,2,2,2
509,2,2,2,3,3,3,3,2,2
510,2,1,2,3,3,3,3,2,2
511,1,1,3,3,3,3,3,2,2
512,1,1,2,3,3,3,2,2,2
513,1,1,2,3,3,3,2,2,2
514,2,2,3,3,3,3,2,2,2
515,2,2,3,3,3,3,2,2,2
516,2,2,3,3,3,3,2,1,1
517,2,2,3,3,3,2,2,1,1
518,2,2,2,3,2,2,2,1,1
519,2,1,2,3,3,2,2,2,2
520,1,2,2,3,3,3,2,2,2
521,1,1,2,3,3,3,2,2,2
522,1,2,3,3,3,3,2,2,2
523,1,2,3,3,3,3,3,2,2
524,1,2,3,3,3,3,3,2,2
525,1,1,2,3,3,3,3,2,2
526,1,1,2,3,3,3,3,2,2
527,1,1,2,3,3,3,2,1,1
528,1,1,2,3,3,3,2,1,1
529,2,2,2,3,3,3,2,1,1
530,2,1,2,3,3,3,2,1,1
531,2,1,2,3,3,3,2,1,1
532,2,2,2,3,3,3,2,1,1
533,1,1,2,3,3,3,2,2,2
534,1,1,2,2,3,3,3,2,2
535,1,1,2,2,3,3,3,2,2
536,1,2,3,3,3,3,3,2,2
537,2,2,3,3,3,3,3,2,2
538,1,1,2,3,3,3,2,2,2
539,1,1,2,2,3,3,3,2,2
540,1,1,2,2,2,3,2,2,2
541,1,1,2,2,2,2,2,1,1
542,1,1,2,3,3,3,2,2,2
543,1,1,2,3,3,3,2,2,2
544,1,1,2,2,2,3,2,1,1
545,1,2,2,2,2,3,2,1,1
546,1,2,3,2,2,3,2,1,1
547,1,2,3,3,3,3,2,2,2
548,1,2,3,3,3,3,2,2,2
549,1,3,3,3,3,3,2,2,2
550,2,3,3,3,3,3,2,2,2
